zcta5,puma12,pop10,afact
11575,3206,15773,0.969
11575,3210,499,0.031
11576,3201,10175,0.823
11576,3202,237,0.019
11576,3204,1954,0.158
11577,3201,8759,0.71
11577,3204,3578,0.29
11579,3202,5055,1
11580,3205,1704,0.042
11580,3211,38409,0.958
11581,3211,11306,0.542
11581,3212,9538,0.458
11590,3202,1378,0.03
11590,3203,1036,0.023
11590,3204,29513,0.645
11590,3206,1748,0.038
11590,3207,12093,0.264
11596,3204,10480,1
11598,3212,13328,1
11691,4114,60035,1
11692,4114,18540,1
11693,4114,11916,1
11694,4114,20408,1
11697,4114,4079,1
11701,3313,27109,1
11702,3311,42,0.003
11702,3312,14456,0.997
11703,3312,16059,0.978
11703,3313,356,0.022
11704,3312,39324,0.978
11704,3313,898,0.022
11705,3309,8030,1
11706,3306,40,0.001
11706,3310,26241,0.42
11706,3311,36262,0.58
11709,3202,6669,1
11710,3209,34496,1
11713,3306,10059,0.967
11713,3307,342,0.033
11714,3203,14066,0.621
11714,3207,3407,0.15
11714,3208,5185,0.229
11715,3307,4514,0.95
11715,3309,238,0.05
11716,3309,10700,1
11717,3310,60745,1
11718,3311,3103,1
11719,3306,3589,1
11720,3308,29189,1
11721,3301,6292,1
11722,3310,34274,0.974
11722,3311,903,0.026
11724,3301,3220,1
11725,3302,6893,0.236
11725,3303,22257,0.764
11726,3313,19857,1
11727,3306,3172,0.109
11727,3307,25858,0.891
11729,3302,659,0.024
11729,3310,7,0
11729,3313,27366,0.976
11730,3311,14712,1
11731,3301,5421,0.18
11731,3302,24763,0.82
11732,3202,3430,1
11733,3304,18949,1
11735,3203,813,0.025
11735,3208,24802,0.773
11735,3313,6483,0.202
11738,3307,8224,0.466
11738,3308,9414,0.534
11739,3311,1223,1
11740,3301,5083,0.538
11740,3302,4371,0.462
11741,3308,5400,0.195
11741,3309,22255,0.805
11742,3307,8235,0.621
11742,3308,1801,0.136
11742,3309,3225,0.243
11743,3301,32496,0.77
11743,3302,9734,0.23
11746,3301,31575,0.471
11746,3302,34871,0.52
11746,3313,648,0.01
11747,3302,19803,1
11749,3309,10,0.003
11749,3310,3335,0.997
11751,3311,14961,1
11752,3310,4142,0.435
11752,3311,5389,0.565
11753,3202,9832,0.818
11753,3203,2182,0.182
11754,3303,18958,1
11755,3303,639,0.052
11755,3308,11748,0.948
11756,3203,79,0.002
11756,3207,42712,0.998
11757,3312,30635,0.67
11757,3313,15065,0.33
11758,3208,53804,1
11762,3208,22360,1
11763,3306,1868,0.066
11763,3307,26638,0.934
11764,3304,13200,1
11765,3202,737,1
11766,3304,11868,0.939
11766,3306,93,0.007
11766,3307,569,0.045
11766,3308,105,0.008
11767,3303,14465,0.996
11767,3309,65,0.004
11768,3301,18083,0.826
11768,3303,3819,0.174
11769,3309,6870,0.723
11769,3311,2636,0.277
11770,3306,9,0.066
11770,3311,128,0.934
11771,3202,10007,1
11772,3306,2524,0.056
11772,3307,41685,0.93
11772,3309,628,0.014
11776,3304,7518,0.31
11776,3307,4052,0.167
11776,3308,12665,0.523
11777,3304,8968,1
11778,3304,12709,1
11779,3303,52,0.001
11779,3308,19344,0.503
11779,3309,19025,0.495
11780,3303,15398,0.992
11780,3304,126,0.008
11782,3306,29,0.002
11782,3309,15785,0.998
11783,3207,5204,0.244
11783,3208,988,0.046
11783,3209,15096,0.709
11784,3307,4200,0.17
11784,3308,20455,0.83
11786,3304,6344,1
11787,3303,35772,1
11788,3303,6298,0.374
11788,3309,10523,0.626
11789,3304,7895,1
11790,3303,143,0.008
11790,3304,18368,0.992
11791,3202,14684,0.586
11791,3203,10392,0.414
11792,3304,1338,0.157
11792,3305,7185,0.843
11793,3207,12518,0.388
11793,3209,19780,0.612
11794,3304,3165,1
11795,3311,26030,1
11796,3309,4056,1
11797,3202,8904,0.985
11797,3203,137,0.015
11798,3312,93,0.006
